name,sex,breed,color
Velencei Gavallér,male,Hungarian Greyhound,brown and white
,male,Unknown Mix,yellow-brown
Nagyhalászi Szellõ,female,Greyhound Mix,yellow
Allegra,female,Unknown Mix,black and brown
Dabasi Bors,male,Staffordshire Terrier Mix,brown
Inárcsi Hektor,male,"German Shepherd Dog, Staffordshire Terrier Mix",yellow-brown
Vlad,male,Unknown Mix,yellow-brown
Zsömi,male,Unknown Mix,yellow-brown
Pongólina,female,Unknown Mix,apricot
Pola,female,"English Greyhound, Spanish Greyhound Mix",yellow
Bongó,male,Greyhound Mix,black and white
Lummia,female,Unknown Mix,black
King,male,Dachshund Mix,wild boar
Duster,male,Greyhound Mix,yellow
Barcsi Detre,male,Greyhound Mix,striped
,male,Unknown Mix,black
Babóca,female,Greyhound Mix,spotty
,male,Unknown Mix,black
Szolnoki Sanyi,male,Terrier Mix,black and white
Újszászi Ász,male,Fox Terrier Mix,black and white
Szolnoki Puszedli,female,Unknown Mix,black and brown
Szálkás Szuka,female,Unknown Mix,black and tan
Chance,male,Unknown Mix,black
Hope,male,Unknown Mix,black
Nelly,female,Unknown Mix,black and white
,female,Unknown Mix,gray and white
Pici,male,Unknown Mix,yellow-brown
Gyõri Tictac,male,Greyhound Mix,black and white
,male,Staffordshire Terrier Mix,black and white
Tigris,male,Unknown Mix,striped
Gomez,male,Unknown Mix,white
Aliz,female,Unknown Mix,yellow-brown
Sebastian,male,Unknown Mix,apricot
Vacok,male,"Dachshund, Fox Terrier Mix",apricot
Kakucsi Pötyi,female,"Chinese Shar-Pei, Dachshund Mix",apricot
Doc,male,Unknown Mix,tricolor
Speedy,male,Unknown Mix,gray and black
Charlotte,female,Unknown Mix,black and white
Chili,female,Staffordshire Terrier,golden
Mártélyi Bence,male,Bull Terrier Mix,striped
Dabasi Kócos,female,Fox Terrier Mix,black and white
,male,Unknown Mix,striped
Csöpi,female,German Shepherd Dog Mix,saddle back
Suzi,female,German Shepherd Dog Mix,sable
,male,Unknown Mix,black and white
,male,Unknown Mix,yellow-brown
Miskolci Kuba,male,"Beagle, Hound Mix",tricolor
Panna,female,Unknown Mix,black
Lõrinci Balu,male,Greyhound Mix,spotty
,male,Unknown Mix,yellow-brown
Alfi,male,Unknown Mix,black
Taxi,female,Unknown Mix,yellow-brown
Bambi,female,Unknown Mix,striped
Pécsi Kajla,male,Greyhound Mix,black
Benji,male,Terrier Mix,yellow-brown
Liza,female,Unknown Mix,black
Sajti,male,Unknown Mix,white
Alsónémedi Sidney,female,"Dachshund, German Shepherd Dog Mix",black
Mazda,male,Unknown Mix,apricot
Miskolci Lupidu,male,Staffordshire Terrier Mix,striped
Gina És Genova,female,Unknown Mix,black
,male,Unknown Mix,yellow-brown
,male,Staffordshire Terrier Mix,brown and white
Kormi,male,Unknown Mix,black
*,female,German Shepherd Dog Mix,saddle back
Cézár,male,Unknown Mix,brown
Lili,female,Cane Corso Mix,brown
Zénó,male,Jagd Terrier Mix,black and tan
Marley,female,Unknown Mix,white
Ózdi Hello,male,Unknown Mix,black
Szolnoki Királyfi,male,Whippet Mix,spotty
Lujzi,female,Unknown Mix,black and brown
Sün,male,Unknown Mix,black and brown
Elsa,female,Unknown Mix,brown
Jockey,male,Unknown Mix,brown
Ózdi Timon,male,Norfolk Terrier Mix,brown and white
Lili,female,Unknown Mix,brown
Aspen,female,Unknown Mix,apricot
Liza,female,Unknown Mix,brown and white
Szigetszentmiklósi Füge,male,Greyhound Mix,spotty
Pongo,male,Unknown Mix,apricot
Leopold,male,Unknown Mix,black and brown
Kincsõ,female,Dalmatian Mix,white
Pétervásásrai Robin,male,Unknown Mix,white
Siófoki Szafi,female,Greyhound Mix,yellow
Kira,female,Unknown Mix,striped
Pétervásásrai Ralf,male,Unknown Mix,brown
Nemesbikki Pandóra,female,Bull Terrier Mix,striped
Szegedi Galagonya,male,Greyhound Mix,white
Greta,female,Unknown Mix,black
Csengersimai Zumba,male,Greyhound Mix,black and white
Kormi,male,Unknown Mix,black
Bony,male,Unknown Mix,gray and black
Igor,male,Border Collie Mix,black and white
Jeremy,male,Unknown Mix,apricot
Pulcsi,female,Puli Mix,black
Daniel,male,Unknown Mix,black and brown
Miskolci Ábel,male,Unknown Mix,yellow-brown
Monori Lucia,female,Unknown Mix,black and white
Kinga,female,Terrier Mix,black and brown
Ócsai Pici,male,Unknown Mix,gray and black
Gufi,male,Unknown Mix,black
Lamoborgini,male,Unknown Mix,black and white
Beki,female,Labrador Retriever,yellow
Kaposvári Remény,male,Greyhound Mix,striped
Zsömi,male,"Golden Retriever, Labrador Retriever Mix",yellow
Kaposvári Szikra,male,Greyhound Mix,striped
Jessie,female,Unknown Mix,brown and white
Sally,female,Golden Retriever,golden
Kakucsi Hazel,female,"German Shepherd Dog, Staffordshire Terrier Mix",yellow-brown
Babi,female,Unknown Mix,apricot
Brunó,male,Labrador Retriever,yellow
Ewoki,female,Unknown Mix,black and white
Kunhegyesi Fickó,male,Unknown Mix,gray
Bodza,female,Labrador Retriever,yellow
,male,Unknown Mix,striped
Sátoraljaújhelyi Parázs,male,German Shepherd Dog Mix,brown
Dzsidzso,male,Staffordshire Terrier Mix,brown and white
Boy,male,Unknown Mix,black and brown
Colin,male,Border Collie Mix,black and white
Poppy,female,"Dachshund, Spaniel Mix",brown and white
Rapi,male,Unknown Mix,black and white
Rizi,female,Labrador Retriever,yellow
Berci,male,Unknown Mix,tricolor
Ócsai Lajka,male,Labrador Retriever Mix,yellow-brown
Maxi,male,Golden Retriever,golden
Hummer,male,Labrador Retriever,yellow
Kleo,female,Unknown Mix,black
Mefi,female,Labrador Retriever,black
Joker,male,Unknown Mix,brown
Sayla,female,Spaniel Mix,black and brown
Sárika,female,Chinese Shar-Pei Mix,brown
Fickó,male,Labrador Retriever,yellow
Tristan,male,Unknown Mix,gray and white
Berci,male,Labrador Retriever,yellow
Lucky,male,Labrador Retriever,black
Janek,male,Dachshund Mix,black
Boni,male,Golden Retriever,golden
Gray,male,Labrador Retriever,yellow
Bubuka,male,Labrador Retriever,black
Beni,male,Labrador Retriever,yellow
Erl,male,Labrador Retriever,yellow
Tália,female,Pinscher Mix,apricot
Amarillys,male,German Shepherd Dog Mix,black and brown
Latte,female,Unknown Mix,black
Ronaldo,male,Unknown Mix,apricot
Emmi,female,Unknown Mix,black and brown
Ramona,female,Unknown Mix,apricot
,male,Staffordshire Terrier Mix,striped
Kyoko,male,Akita Mix,striped
Hunor,male,Unknown Mix,brown and white
Kaposvári Rómeó,male,Greyhound Mix,striped
Kaposvári Júlia,female,Greyhound Mix,striped
Elsa,female,Unknown Mix,brown
Jaki,male,Unknown Mix,red and white
Tonja,male,Unknown Mix,black and white
Robi,male,German Shepherd Dog Mix,sable
Melange,female,Unknown Mix,brown
Andres,male,Unknown Mix,black
Capuccino,male,Unknown Mix,black
Lili,female,Unknown Mix,brown
Zora,female,Unknown Mix,apricot
Siófoki Olívia,male,Jagd Terrier Mix,apricot
Diana,female,Unknown Mix,black and brown
Folti,male,Fox Terrier Mix,tricolor
Rozi,female,Unknown Mix,saddle back
Pajti,male,Unknown Mix,tricolor
Esztergomi Dodó,male,English Greyhound Mix,black and white
Hiro,female,Fox Terrier Mix,brown and white
Kifli,female,Golden Retriever Mix,yellow-brown
Foltos,male,Unknown Mix,black and white
Bambi,female,Unknown Mix,brown
Imrus,male,Mudi Mix,black
Lili,female,Cane Corso Mix,brown
Suba,male,Unknown Mix,black
Elsa,female,Unknown Mix,brown
Hejõbábai Gyömbér,female,Poodle Mix,white
Újhartyáni Puding,female,Staffordshire Terrier Mix,yellow-brown
Nagybajomi Boldizsár,male,Unknown Mix,yellow-brown
Pocak,male,Unknown Mix,black
Huba,male,Unknown Mix,brown
Gyömrõi Barbi,female,Hungarian Greyhound Mix,spotty
Argo,male,German Dog,black
Anna,female,Unknown Mix,black
Miskolci Minerva,female,German Shepherd Dog Mix,brown
Peter Parker,male,German Dog,black
Oliver,male,Unknown Mix,apricot
Myles,male,Bulldog Mix,black and white
Borzi,male,Unknown Mix,black and tan
Momi,female,German Dog,gray
Lili,female,Cane Corso Mix,brown
Fitos,male,Unknown Mix,black and tan
Datolya,female,German Shepherd Dog Mix,apricot
Gubanc,female,Unknown Mix,saddle back
Marci Papa,male,German Pointer,brown and white
,male,German Shepherd Dog Mix,saddle back
,male,Unknown Mix,black and tan
Farsang,male,Unknown Mix,black
Miske,male,Unknown Mix,black and tan
Vulpex,male,Unknown Mix,brown and white
Éliás,male,Border Collie Mix,black and white
Öregnéne,female,Unknown Mix,brown and white
Pinocchio,male,Unknown Mix,white
Tamara,female,Unknown Mix,saddle back
Zsiráf,male,Unknown Mix,spotty
Kunhegyesi Frodo,male,"Greyhound, Labrador Retriever Mix",black
Tibi,male,Dachshund Mix,white
Tódor,male,Dachshund Mix,gray and black
Caramell,male,Unknown Mix,apricot
Mia,female,Unknown Mix,striped
,male,Unknown Mix,yellow-brown
Folti_,male,"Dachshund, Fox Terrier Mix",brown and white
Alma,female,Unknown Mix,tricolor
Nagyatádi Palkó,male,Greyhound Mix,black
Kunhegyesi Zserbó,female,Dachshund Mix,brown
Dugó,male,Pinscher Mix,tricolor
Selli,female,Labrador Retriever Mix,black
Bobó,male,Unknown Mix,black
Manó,female,Chihuahua Mix,tricolor
Füles,female,Unknown Mix,golden
Suba,male,"Chinese Shar-Pei, Dachshund, Fox Terrier Mix",yellow-brown
Döme,male,Labrador Retriever Mix,black
Jeraldino,male,Unknown Mix,black
Dodó,male,Unknown Mix,red
Monk,male,Unknown Mix,black
Staffi,male,Staffordshire Terrier Mix,yellow-brown
Kiki,female,Rottweiler Mix,black and brown
Kody,male,Dachshund Mix,black and brown
Fickó,male,Dachshund Mix,black and brown
Lili,female,Cane Corso Mix,brown
Bella,female,Unknown Mix,apricot
Kópé,male,Unknown Mix,brown
Melody,female,Unknown Mix,gray and black
Nikó,male,"Labrador Retriever, Poodle Mix",white
Galadriel,female,Staffordshire Terrier Mix,brown and white
Rex,male,Unknown Mix,black and brown
Mirtill,female,Unknown Mix,brown and white
Fruzsi,female,Unknown Mix,black and brown
Morgó,male,Unknown Mix,black
Kugli,male,Unknown Mix,brown and white
Dabasi Baltazár,male,Komondor,white
Soroksári Kody,male,Unknown Mix,striped
Adonis,male,Dachshund Mix,apricot
Dingó,male,Unknown Mix,brown
Kópé,male,Unknown Mix,brown
Ócsai Pamacs,male,Chinese Shar-Pei,red
Brill,female,Unknown Mix,black and brown
Bogár,male,Unknown Mix,black
Delma,female,Unknown Mix,black and brown
Csutak,male,Unknown Mix,black and white
Rex,male,German Shepherd Dog Mix,sable
Döme,male,Unknown Mix,striped
Lina,female,Unknown Mix,black and white
Emma,female,Unknown Mix,black and white
Blair,female,Staffordshire Terrier Mix,striped
Albertirsai Félix,male,"Pekingese, Tibetan Spaniel Mix",white
Maci,female,Unknown Mix,gray
Porcsalmai Gréti,female,Greyhound Mix,spotty
Inárcsi Mózes,male,Rottweiler Mix,black and tan
Sid,male,German Shepherd Dog Mix,black and tan
Pamacs,male,Unknown Mix,apricot
Nicol,female,Unknown Mix,apricot
Haven,female,Unknown Mix,apricot
Dínó,male,Unknown Mix,black and brown
Samuci,male,Dachshund Mix,black and tan
Thália,female,Terrier Mix,striped
Túrkevei Gitta,female,Unknown Mix,striped
Berger,male,Unknown Mix,apricot
Kyd,male,Staffordshire Terrier Mix,black and white
Preston,male,Unknown Mix,black
Morzsa,male,Dachshund Mix,black
Dunavarsányi Dominó,male,Puli Mix,black and white
Túrkevei Zsóka,female,"Greyhound, Vizsla, Weimaraner Mix",striped
Hajdúsámsoni Brúnó,male,Hungarian Greyhound,striped
Paris,female,Unknown Mix,gray
Logan,male,Unknown Mix,black
Ócsai Black Jack,male,Unknown Mix,black
Dominika,female,Dachshund Mix,black and brown
Hajdúszoboszlói Titán,male,Greyhound Mix,striped
Zorka,female,Unknown Mix,white
Colin,male,Scotch Collie,tricolor
,male,German Shepherd Dog Mix,black
Carmen,female,Unknown Mix,black
Felsõpakonyi Boxi,male,Siberian Husky Mix,gray and white
Zeusz,male,Unknown Mix,yellow-brown
Pilla,female,Unknown Mix,black
e,female,Unknown Mix,black
Arzén,female,Unknown Mix,saddle back
Kormi,male,Unknown Mix,black
,male,Unknown Mix,yellow-brown
Adél,female,Unknown Mix,black and brown
Borzas,male,Unknown Mix,gray
Baileys,female,Unknown Mix,black
Csimbók,male,Puli Mix,black
Paca_,male,Unknown Mix,white
Abby,female,German Shepherd Dog Mix,brown
Wolfi,male,Unknown Mix,yellow-brown
Rike,female,German Shepherd Dog Mix,black and brown
Tibi,male,Unknown Mix,apricot
Csengersimai Pamilla,female,Greyhound Mix,spotty
Bimbi,female,Dachshund Mix,black
Alpha,male,Unknown Mix,black and tan
,male,German Shepherd Dog Mix,striped
Tequila_,male,Unknown Mix,black
Érdi Bella,female,Mastiff Mix,black and white
Zseton,male,"Bearded Collie, Labrador Retriever Mix",black
,male,Unknown Mix,tricolor
Yoko,male,Dachshund Mix,white
Debreceni Finlay,male,Greyhound Mix,yellow-brown
Bolka,male,Unknown Mix,brown and white
Dani,male,Unknown Mix,gray
Nathan,male,Unknown Mix,brown
Lola,female,Unknown Mix,yellow-brown
Bobek,male,Labrador Retriever,black
Lora,female,Unknown Mix,brown
Alex,male,German Shepherd Dog Mix,brown
Csengersimai Kende,male,"Greyhound, Hungarian Greyhound Mix",brown and white
Nadine,female,Unknown Mix,black and brown
Újhartyáni Brúnó,male,"Australian Shepherd, Labrador Retriever Mix",black
John,male,Dachshund Mix,apricot
Borcsa,female,Unknown Mix,apricot
Hank,male,Unknown Mix,brown and white
Judit,female,Unknown Mix,yellow-brown
,male,Unknown Mix,black
Kölyki,female,"German Shepherd Dog, Hound Mix",black and brown
Ropi,male,Yorkshire Terrier,gray and white
Ilcsi,female,Unknown Mix,black and brown
Balu,male,Unknown Mix,black
Annie,female,Unknown Mix,brown
Nyíregyházi Béci,male,"Belgian Malinois, German Shepherd Dog Mix",yellow-brown
Babi,female,Unknown Mix,black and brown
Nyurga,male,Unknown Mix,yellow-brown
Penny,female,Dachshund Mix,brown and white
Kölyki,male,Unknown Mix,black and brown
Chop,male,Unknown Mix,brown
Robert,male,Unknown Mix,apricot
Paco,male,Dachshund Mix,brown and white
Blacky,female,Unknown Mix,black
Örs,male,Puli Mix,black
Ursula Temperamentumos,female,Terrier Mix,gray and black
Stoppos,male,Unknown Mix,black
Káró,male,Unknown Mix,gray
Panka,female,English Cocker Spaniel Mix,golden
Malvin,male,Vizsla Mix,golden
Romana,female,Terrier Mix,black and tan
Simi,female,English Cocker Spaniel Mix,golden
Dennis,male,Unknown Mix,black
Öcsi,male,Terrier Mix,gray
Pancho,male,English Cocker Spaniel Mix,saddle back
Smart,male,"English Cocker Spaniel, Labrador Retriever Mix",black
Sly,male,English Cocker Spaniel Mix,golden
Miss Siss,female,English Cocker Spaniel Mix,black and tan
Róka,male,"English Cocker Spaniel, Terrier Mix",golden
Tirion,male,"Dachshund, English Cocker Spaniel Mix",black and white
Sarolt,female,Labrador Retriever Mix,black
Sally,female,Unknown Mix,gray
Teddy,male,English Cocker Spaniel,red and white
Huba,male,Unknown Mix,striped
Sancho,male,English Cocker Spaniel Mix,saddle back
Bonnie,female,Unknown Mix,black and white
Sunny,female,English Cocker Spaniel,golden
Lizi,female,"Golden Retriever, Terrier Mix",apricot
Dexter,male,English Cocker Spaniel Mix,black
Kimi,male,English Cocker Spaniel Mix,black
Jenõ,male,"Rottweiler, Transylvanian Hound Mix",black and tan
Jácint,male,"English Cocker Spaniel, Vizsla Mix",black
Ginger,female,Unknown Mix,apricot
Kiki,female,Unknown Mix,black
Lancelot,male,English Cocker Spaniel,golden
Jason,male,English Cocker Spaniel Mix,black and tan
Jep,male,English Cocker Spaniel,golden
Dundika,female,"English Cocker Spaniel, Spitz Mix",black
Jedi,male,English Cocker Spaniel,golden
Elton,male,English Cocker Spaniel,golden
Change,male,Puli Mix,black
Dezsõ,male,Unknown Mix,black
Challenge,male,Unknown Mix,brown
Dedi,male,"Dachshund, English Cocker Spaniel Mix",saddle back
Ginnie,female,"English Cocker Spaniel, Spitz Mix",apricot
Brain,male,Border Collie Mix,brown and white
Derrick,male,English Cocker Spaniel,golden
Gyémánt,male,Unknown Mix,black
Bambus,male,Staffordshire Terrier Mix,brown and white
Axa,female,"Akita, Boxer Mix",dotted
Ole,male,Unknown Mix,apricot
Smart,male,Unknown Mix,white
Kiki,female,Rottweiler Mix,black and brown
,female,Unknown Mix,black
Artúr,male,Unknown Mix,black and brown
Porc,male,Dachshund,black and tan
Benõ,male,English Cocker Spaniel,golden
Daisy,female,Bolognese Mix,white
Bodza,female,English Cocker Spaniel,golden
Anubis,female,Akita Mix,white
Ámor,male,English Cocker Spaniel,golden
Aldo,male,"Akita, Labrador Retriever Mix",dotted
Bogyi,male,Unknown Mix,brown and white
Rex,male,Vizsla Mix,brown
Arnold,male,"Akita, Boxer Mix",striped
Maci,male,Labrador Retriever Mix,black
Törpi,male,"German Shepherd Dog, Greyhound Mix",black and tan
Mariah,female,Unknown Mix,brown
Bento,male,Chihuahua Mix,yellow-brown
Tina,female,Unknown Mix,black
Ribizli,female,Dachshund Mix,black and brown
Cleo,female,Staffordshire Terrier Mix,striped
Nina,female,Akita,brown and white
Füsti,male,"German Shepherd Dog, Siberian Husky Mix",tricolor
Pogi,female,Unknown Mix,apricot
Héra&Amp,male,Unknown Mix,black and tan
Scooby,male,Unknown Mix,yellow-brown
Málna,female,Staffordshire Terrier Mix,apricot
Néró,male,German Shepherd Dog Mix,black and brown
Nina,female,Unknown Mix,brown and white
Cézár,male,Unknown Mix,brown
Gotti,male,Schnauzer Mix,black
Johnny,male,"Caucasian Ovtcharka, German Shepherd Dog Mix",brown
Fürge,male,Greyhound Mix,black and brown
Alfonzina,female,Chinese Shar-Pei Mix,apricot
Érdi Bella,female,"Dachshund, Labrador Retriever Mix",black
Boromir,male,Chinese Shar-Pei Mix,apricot
Simon,male,Unknown Mix,saddle back
Ali,male,Bull Terrier Mix,apricot
Sanyi,male,Unknown Mix,black and white
Misa,male,Unknown Mix,black and white
Héra,female,Staffordshire Terrier Mix,striped
Berci,male,Unknown Mix,yellow-brown
Ali,male,Bull Terrier Mix,apricot
Orsi,female,Unknown Mix,brown and white
Bosco,male,Unknown Mix,apricot
Robin,male,Beagle Mix,saddle back
Ninuska,female,Unknown Mix,apricot
Regi,female,Unknown Mix,black
Bosco,male,Unknown Mix,apricot
Ócsai Adolf,male,American Bulldog Mix,white
Dömper,male,French Bulldog,black and white
Ninuska,female,Unknown Mix,apricot
Soroksári Csicsi,female,German Shepherd Dog Mix,saddle back
Mezõkovácsházi Dáma,female,"Fox Terrier, Staffordshire Terrier Mix",black
,male,Unknown Mix,black
Mezõkovácsházi Hilda,female,"Fox Terrier, Staffordshire Terrier Mix",black
Marcipán,male,Unknown Mix,apricot
Morzsi,male,Dachshund Mix,yellow-brown
Zsemle,male,Dachshund Mix,yellow-brown
Jazz,female,Dachshund Mix,black and white
Teo,male,Unknown Mix,yellow
Izményi Nelly,female,Greyhound,black and white
Bobi,male,Schnauzer Mix,black
Szofi,female,Unknown Mix,black and brown
Bizsu,female,Unknown Mix,yellow-brown
Henrik,male,German Dog,black and white
Óbudai Löri,male,German Shepherd Dog Mix,striped
Zizi,female,Dachshund Mix,brown
Indy,male,Unknown Mix,black
Tánya,female,German Shepherd Dog Mix,saddle back
Borka,female,German Shepherd Dog Mix,sable
Démon,male,"German Shepherd Dog, Transylvanian Hound Mix",black and brown
Különc,female,Schnauzer Mix,black
Netty,female,German Shepherd Dog Mix,brown
Rózsa,female,Unknown Mix,black and tan
Bolka,male,Unknown Mix,yellow-brown
Pici,female,Unknown Mix,black and tan
Tappancs,male,Dachshund Mix,black and tan
Lea,female,Staffordshire Terrier Mix,striped
Ari,female,Unknown Mix,yellow-brown
Kutyus,male,Unknown Mix,gray and black
Bogáncs,male,Puli,black
Orsi,female,Unknown Mix,striped
Casper,male,Unknown Mix,yellow
Pisze,male,Unknown Mix,black and brown
Vitéz,male,Puli,black
Matyi,male,Unknown Mix,tricolor
Töpi,male,Unknown Mix,brown
Oszi,male,Unknown Mix,yellow-brown
Valdo,male,Puli Mix,white
Ernõ,male,Unknown Mix,gray
Tiki,male,Schnauzer Mix,black
Gülüke,male,Unknown Mix,black
Taki,male,Schnauzer Mix,black
Dante,male,Staffordshire Terrier Mix,striped
,male,Unknown Mix,brown and white
Fülöp,male,Unknown Mix,black
Dongó,male,Unknown Mix,black and tan
Toll,male,"Puli, Pumi Mix",gray
Pacha,male,Unknown Mix,black and white
Lucky.,female,Unknown Mix,yellow
Ninuska,female,Bull Terrier Mix,apricot
Logan,male,Unknown Mix,yellow
Saci,female,Dachshund Mix,brown
,male,Unknown Mix,black and white
Olivér,male,Unknown Mix,black and brown
Gina,female,Unknown Mix,black and brown
Zeusz,male,Unknown Mix,black and brown
Réka,female,Unknown Mix,gray and white
Paca_,male,Unknown Mix,sable
Pumba,male,Central Asian Ovtcharka Mix,yellow-brown
,male,Unknown Mix,black
Alfréd,male,Mastiff Mix,yellow
Füles,female,"Puli, Pumi Mix",gray
,male,Unknown Mix,black and brown
Joy,female,Dachshund Mix,brown
Õzike,female,Unknown Mix,gray and black
Panni,male,Schnauzer Mix,gray and black
Csipike,female,Pinscher,black and tan
Siriusb,male,German Shepherd Dog,black and tan
Stewie,male,Staffordshire Terrier Mix,brown and white
Gömbi,male,Unknown Mix,brown
Wilbur,male,Unknown Mix,black and brown
Kormika,female,Unknown Mix,black
Noel,male,Unknown Mix,brown
Ficánka,female,Unknown Mix,black
Sion,male,Unknown Mix,apricot
Rocco,male,Rottweiler Mix,black and brown
Molly,female,"Hungarian Vizsla, Labrador Retriever Mix",apricot
Athos,male,"Chinese Shar-Pei, Staffordshire Terrier Mix",apricot
Debreceni Bosco,male,Unknown Mix,striped
Umas,male,Akita Mix,apricot
Porthos,male,"Chinese Shar-Pei, Staffordshire Terrier Mix",apricot
,female,Unknown Mix,yellow-brown
Tomi,male,Rottweiler Mix,black and brown
Ihar,male,Mudi,black
Mona,female,Unknown Mix,yellow-brown
Mogyoró,male,Unknown Mix,red
Chaplin,male,Belgian Malinois,striped
Lay,male,Unknown Mix,apricot
P.Petra,female,German Pointer Mix,brown and white
Mia,female,Unknown Mix,red and white
Robi,male,Unknown Mix,sable
Betyár,male,Komondor,white
Roni,male,Unknown Mix,sable
Berci,male,Unknown Mix,white
Kisteleki Ubi,male,Greyhound Mix,striped
Bob,male,Puli,black
Maci/Borisz,male,Unknown Mix,sable
Monthy,male,Terrier Mix,black and white
Macaron,male,Staffordshire Terrier Mix,apricot
Démon,male,Unknown Mix,black
Nash,male,Unknown Mix,brown
Rachel,female,Dachshund Mix,apricot
Mancs,male,Chow Chow Mix,black
Leila,female,Unknown Mix,brown and white
Miskolci Pindi,male,"Azawakh, Hungarian Greyhound Mix",striped
River,male,"Alaskan Malamute, Caucasian Ovtcharka, German Shepherd Dog Mix",gray and black
Mickey,male,Unknown Mix,spotty
Sajó,male,Unknown Mix,brown and white
Hippi,female,Unknown Mix,brown
Mali,male,Belgian Malinois Mix,saddle back
Sajó,female,"Kuvasz, Pumi Mix",white
Sasha,male,Unknown Mix,brown and white
Levédia,female,Unknown Mix,gray
Imola,female,Vizsla Mix,black
Happy,female,Unknown Mix,black and brown
Gizmo,male,Unknown Mix,black and brown
,male,Unknown Mix,brown and white
Szonja,female,Dachshund Mix,tricolor
Kunhegyesi Lola,female,"Schnauzer, Terrier Mix",black and white
Effi,female,Unknown Mix,black and brown
Aga,male,Mudi,black
Írisz,female,Unknown Mix,black and white
Venezia,female,German Shepherd Dog,black and brown
Jolly,female,Unknown Mix,white
Gombóc,female,Unknown Mix,black
Foltos,male,"Beagle, Dachshund Mix",brown and white
Pici,male,Unknown Mix,gray and black
Komi,male,Vizsla Mix,black
Kisújszállási Simi,female,"Greyhound, Labrador Retriever Mix",apricot
Kántor,male,Unknown Mix,sable
Jamie,male,Unknown Mix,black
Tücsi,female,German Shepherd Dog Mix,yellow-brown
Süti,male,German Dog Mix,apricot
Mocsok,male,Unknown Mix,brown
Hugó,male,Unknown Mix,black and white
Kithara,female,Puli Mix,black
Dream,male,Schnauzer Mix,black
Manci,female,Unknown Mix,yellow-brown
Ében,female,Unknown Mix,black
Angel,female,"Belgian Malinois, Labrador Retriever Mix",brown
Sheeva,female,Unknown Mix,black and white
Betti,female,Jack Russell Terrier,tricolor
Bogi,female,Jack Russell Terrier,tricolor
Baba,female,Unknown Mix,apricot
Bali,male,German Shepherd Dog Mix,brown
,male,Unknown Mix,black
Kiskutyák,male,Chinese Shar-Pei Mix,black
Endre,male,Unknown Mix,brown
Dolly,female,"Dachshund, Jack Russell Terrier Mix",white
Nyérc,female,Belgian Sheepdog Mix,saddle back
Cleo,female,Staffordshire Terrier Mix,striped
,male,Unknown Mix,black and white
Picur,male,Unknown Mix,tricolor
Egyed/Orfeusz,male,Unknown Mix,black and white
Banzai,male,"German Shepherd Dog, Greyhound Mix",striped
Medárd,male,Puli,gray and black
Jónás,male,"German Shepherd Dog, Labrador Retriever Mix",black and brown
Ördög,male,Unknown Mix,black
,male,Unknown Mix,black
Nanook,male,Unknown Mix,yellow-brown
Amy,female,Unknown Mix,black and white
