Id,age,Income,Spend,Savings,Debt,Credit Rating,Is Employable ,HasCriminalBackground,Unemployed For
10113,18,358858541,29,53,60,6,1,1,5
10114,76,165291178,69,51,-13,8,0,0,57
10115,97,660955669,68,34,9,10,1,1,46
10116,54,384057972,37,49,-23,8,0,0,32
10117,35,152710725,49,47,30,7,1,1,45
10118,81,512486811,50,53,10,1,0,0,19
10119,30,211441025,75,31,-6,4,1,1,51
10120,51,211135009,42,35,30,9,0,0,29
10121,55,782023935,57,31,60,7,1,1,8
10122,8,263053479,75,30,-3,0,0,0,31
10123,81,89653075,28,51,57,5,1,1,29
10124,23,980151946,63,43,55,4,0,0,35
10125,75,40054033,48,56,48,8,1,1,38
10126,34,671769408,27,51,55,8,0,0,7
10127,58,852085593,54,37,31,10,1,1,56
10128,11,396052715,23,52,25,8,0,0,6
10129,79,583432717,31,36,-36,0,1,1,12
10130,62,116293494,76,44,43,10,0,0,20
10131,61,816894331,32,34,-1,4,1,1,32
10132,44,261308302,77,51,37,1,0,0,56
10133,62,44209777,27,42,14,8,1,1,28
10134,80,283819671,78,47,34,7,0,0,38
10135,69,372835226,35,56,-38,9,1,1,6
10136,29,298110012,58,58,23,3,0,0,38
10137,72,775309276,25,38,60,9,1,1,42
10138,57,422378423,79,57,-23,4,0,0,9
10139,48,191372433,41,35,-24,10,1,1,51
10140,80,365923743,20,51,-10,3,0,0,6
10141,49,954731402,23,34,60,2,1,1,3
10142,67,793871640,73,46,30,9,0,0,36
10143,60,823736234,27,49,-47,10,1,1,30
10144,102,927748856,15,42,26,1,0,0,4
10145,69,828345964,19,59,-1,4,1,1,46
10146,21,769137170,23,49,10,9,0,0,8
10147,106,384008586,78,31,56,1,1,1,9
10148,14,352980429,50,52,-46,5,0,0,55
10149,8,824094824,50,38,40,10,1,1,58
10150,38,465777710,62,47,-36,5,0,0,16
10151,60,180239177,40,43,34,10,1,1,3
10152,38,516209646,57,46,46,4,0,0,3
10153,32,160346006,80,42,-13,3,1,1,55
10154,98,998986224,16,60,25,1,0,0,45
10155,78,672309688,50,32,-32,10,1,1,16
10156,19,806415783,68,55,43,2,0,0,38
10157,22,29837027,44,49,50,6,1,1,25
10158,1,515220194,36,60,-32,2,0,0,31
10159,79,662225967,15,41,-29,7,1,1,26
10160,38,587030417,67,40,-6,4,0,0,27
10161,60,768504218,73,45,-34,7,1,1,19
10162,98,848879395,56,30,-48,0,0,0,24
10163,61,640882609,68,40,-7,2,1,1,54
10164,72,269565025,46,56,-31,0,0,0,49
10165,9,269073962,69,38,-31,9,1,1,19
10166,4,711636450,16,39,-6,2,0,0,33
10167,95,547556562,29,32,1,4,1,1,1
10168,57,139396229,49,37,17,6,0,0,55
10169,26,412625212,15,54,-36,0,1,1,52
10170,69,639409589,70,43,-8,9,0,0,24
10171,57,964821624,40,48,55,4,1,1,11
10172,2,505781840,29,49,36,9,0,0,42
10173,34,39707449,80,56,39,3,1,1,23
10174,38,737577562,42,49,28,4,0,0,58
10175,19,693794643,61,35,-8,4,1,1,45
10176,71,562586809,52,60,42,6,0,0,39
10177,104,925353248,24,40,-1,10,1,1,35
10178,47,96672935,68,50,43,4,0,0,41
10179,82,676589241,77,44,-46,3,1,1,48
10180,38,978490090,22,42,-40,8,0,0,40
10181,57,723561109,39,43,56,10,1,1,36
10182,46,172456845,37,48,5,7,0,0,7
10183,29,900790402,39,49,45,8,1,1,35
10184,67,840520330,33,60,-38,5,0,0,32
10185,61,59849818,79,51,9,0,1,1,4
10186,101,911724747,41,34,53,2,0,0,58
10187,106,776312227,26,49,-30,5,1,1,39
10188,39,610656910,31,60,16,1,0,0,51
10189,49,484669886,23,58,-23,0,1,1,23
10190,57,775511763,64,43,-19,7,0,0,32
10191,73,98099752,35,58,-27,6,1,1,9
10192,10,235448452,43,30,-15,6,0,0,33
10193,66,251927275,69,52,-27,6,1,1,23
10194,98,503993545,42,37,-38,0,0,0,32
10195,8,56462330,78,41,-7,4,1,1,4
10196,79,548381789,67,41,-49,6,0,0,40
10197,80,59924151,26,33,42,7,1,1,28
10198,45,251874456,32,60,37,5,0,0,17
10199,74,165487078,35,45,-5,2,1,1,36
10200,15,471281765,74,42,9,1,0,0,3
10201,20,131921071,42,41,10,10,1,1,22
10202,33,479889651,21,30,25,6,0,0,10
10203,65,814926666,34,60,13,4,1,1,2
10204,92,247866966,16,51,21,8,0,0,28
10205,57,84132969,65,52,-22,3,1,1,38
10206,89,53925223,34,47,15,5,0,0,49
10207,42,753137008,61,51,46,10,1,1,8
10208,96,876582551,79,31,32,10,0,0,19
10209,38,214656398,20,48,-37,7,1,1,35
10210,67,190958551,33,30,10,2,0,0,53
10211,22,866593931,58,31,37,1,1,1,60
10212,82,803551965,75,31,-30,7,0,0,53
10213,80,792141669,17,30,-48,0,1,1,44
10214,38,606505541,36,30,-8,4,0,0,27
10215,80,65801507,19,47,-1,5,1,1,5
10216,8,323111050,25,44,54,8,0,0,57
10217,1,73712715,40,59,-41,4,1,1,25
10218,45,2994903,45,42,13,5,0,0,16
10219,3,503773212,42,55,7,7,1,1,3
10220,105,544889140,64,56,-13,4,0,0,23
10221,38,508964396,35,42,21,7,1,1,53
10222,75,402674383,21,37,-31,3,0,0,36
10223,61,437373741,22,50,-23,10,1,1,27
10224,102,604981788,52,43,-39,1,0,0,49
10225,74,765176968,41,56,-32,8,1,1,58
10226,105,956194286,43,40,16,10,0,0,58
10227,26,554799304,60,36,9,3,1,1,31
10228,92,416326304,69,38,-47,1,0,0,7
10229,98,323701998,66,39,-29,5,1,1,17
10230,93,594887373,48,57,59,1,0,0,53
10231,5,27937124,73,38,-13,1,1,1,20
10232,72,526079093,61,43,-19,3,0,0,44
10233,91,628762143,28,41,6,4,1,1,51
10234,25,201725163,43,33,-11,3,0,0,1
10235,110,956183107,38,48,-41,4,1,1,4
10236,6,217834624,54,45,-27,5,0,0,39
10237,43,71233196,64,47,-3,1,1,1,36
10238,81,767780929,60,48,-46,9,0,0,39
10239,45,356937972,63,44,46,7,1,1,59
10240,35,22606958,45,37,-45,5,0,0,28
10241,25,283235965,57,38,6,4,1,1,32
10242,44,310063095,67,45,-28,5,0,0,35
10243,9,1255331,47,42,-35,10,1,1,28
10244,68,609350959,29,39,38,2,0,0,42
10245,33,405444627,68,37,38,3,1,1,45
10246,80,671608344,49,32,-23,3,0,0,35
10247,6,323343847,75,50,46,9,1,1,3
10248,62,124891549,38,38,-12,6,0,0,57
10249,55,86040308,46,50,60,8,1,1,47
10250,40,203642488,39,36,-26,3,0,0,25
10251,16,442625476,52,34,18,8,1,1,51
10252,87,346150255,78,37,-24,4,0,0,7
10253,45,12044002,80,45,-10,4,1,1,57
10254,75,19638441,76,51,-28,6,0,0,29
10255,99,105011769,60,50,32,3,1,1,21
10256,9,40277339,30,56,21,0,0,0,13
10257,11,22169089,24,37,9,7,1,1,23
10258,18,240827427,31,37,-9,1,0,0,16
10259,40,712605397,41,35,33,8,1,1,5
10260,107,480170850,37,35,21,8,0,0,30
10261,4,623972996,79,57,27,4,1,1,56
10262,73,476309762,66,58,33,1,0,0,30
10263,76,711373060,52,48,18,0,1,1,58
10264,33,572252856,45,50,-6,1,0,0,20
10265,12,79045526,33,37,39,0,1,1,59
10266,58,162975217,58,31,37,3,0,0,30
10267,53,106605284,39,30,-22,1,1,1,29
10268,27,184316784,64,43,50,8,0,0,6
10269,75,20482954,17,39,-43,7,1,1,34
10270,12,431699952,68,39,9,3,0,0,26
10271,57,227183841,67,37,27,8,1,1,42
10272,109,425565438,19,56,-48,7,0,0,50
10273,3,380624021,57,31,16,4,1,1,27
10274,49,773584932,37,59,59,7,0,0,14
10275,97,855744631,26,52,-23,6,1,1,60
10276,8,392995842,32,39,-34,10,0,0,22
10277,66,545340652,21,57,-25,0,1,1,16
10278,16,460310159,33,54,41,1,0,0,2
10279,84,208203125,62,43,-16,4,1,1,48
10280,110,563373912,31,35,39,6,0,0,53
10281,63,185875423,79,34,4,1,1,1,42
10282,46,233946993,55,30,-24,7,0,0,34
10283,28,174373384,72,59,-48,10,1,1,53
10284,30,936653588,15,49,-46,7,0,0,43
10285,19,280653024,31,35,-48,3,1,1,15
10286,95,386071238,22,58,-40,9,0,0,11
10287,68,750513955,77,60,12,2,1,1,19
10288,82,212693078,27,44,2,7,0,0,41
10289,30,388890112,49,57,59,10,1,1,43
10290,100,83869162,73,41,33,5,0,0,28
10291,11,490450762,73,51,27,5,1,1,39
10292,20,367845047,32,44,59,7,0,0,1
10293,80,295028007,21,38,-8,8,1,1,31
10294,94,326474458,43,41,-7,9,0,0,29
10295,46,220595901,46,42,27,5,1,1,28
10296,95,943468328,34,48,-17,4,0,0,56
10297,20,34313291,71,45,26,2,1,1,43
10298,19,51786630,80,35,-30,10,0,0,5
10299,59,374462254,47,37,-41,5,1,1,14
10300,55,143836681,73,40,48,2,0,0,32
10301,37,32301645,20,57,27,0,1,1,29
10302,34,451842137,48,42,-45,6,0,0,27
10303,31,819335935,40,55,41,10,1,1,17
10304,104,865315769,63,52,30,8,0,0,23
10305,106,249567391,52,57,-49,0,1,1,26
10306,102,667648835,23,42,38,7,0,0,9
10307,74,250314075,53,58,-44,9,1,1,59
10308,55,611227283,52,56,31,9,0,0,47
10309,13,421571801,51,52,-40,5,1,1,30
10310,82,696625811,76,38,52,2,0,0,10
10311,28,366130875,80,32,-46,0,1,1,47
10312,16,502149310,64,51,-8,9,0,0,20
10313,47,566594742,63,32,-7,0,1,1,8
10314,69,156583246,18,51,25,5,0,0,13
10315,70,406723612,49,39,12,5,1,1,3
10316,66,737658433,56,51,-39,1,0,0,36
10317,58,807003999,46,59,16,3,1,1,38
10318,99,879075284,65,49,-31,10,0,0,24
10319,96,436481194,33,59,-1,8,1,1,15
10320,10,21708876,70,37,15,7,0,0,54
10321,107,503410108,18,53,55,4,1,1,5
10322,42,430028940,53,31,-15,7,0,0,11
10323,79,866326644,42,53,26,0,1,1,51
10324,30,939496902,15,33,14,8,0,0,58
10325,80,926295156,47,49,5,8,1,1,57
10326,50,207015159,30,42,37,6,0,0,12
10327,54,373371976,61,47,-3,1,1,1,31
10328,80,784999561,78,38,9,9,0,0,38
10329,86,905508847,27,56,38,5,1,1,51
10330,22,477387706,28,32,3,9,0,0,34
10331,28,447542253,17,56,-49,4,1,1,11
10332,38,729786558,59,53,53,10,0,0,13
10333,33,385612566,17,38,0,10,1,1,57
10334,73,797971978,20,35,-32,0,0,0,10
10335,46,780173322,51,44,-22,8,1,1,46
10336,46,765284673,45,39,-8,5,0,0,49
10337,54,556166626,27,46,10,6,1,1,48
10338,84,419218155,17,47,40,8,0,0,32
10339,65,665121844,62,56,-45,7,1,1,50
10340,79,298316702,17,55,-13,10,0,0,46
10341,17,943928928,80,48,43,8,1,1,27
10342,51,260649946,79,32,8,0,0,0,40
10343,29,260300556,71,34,-37,1,1,1,23
10344,14,306415497,27,35,55,2,0,0,9
10345,19,331153077,36,35,14,5,1,1,12
10346,37,199869530,71,53,16,4,0,0,49
10347,62,543352460,39,42,-44,4,1,1,32
10348,93,732566083,60,42,-33,8,0,0,11
10349,91,273262359,55,32,-21,8,1,1,11
10350,3,535595843,48,30,50,7,0,0,34
10351,45,456069315,33,37,4,3,1,1,45
10352,53,196104025,80,41,27,1,0,0,48
10353,33,410432421,19,37,-7,1,1,1,18
10354,41,659113865,77,36,19,0,0,0,49
10355,37,357263855,48,36,10,4,1,1,23
10356,48,326110280,73,51,-30,9,0,0,5
10357,7,223421453,79,36,51,0,1,1,18
10358,62,470328618,15,32,45,1,0,0,7
10359,16,183448886,16,47,-20,4,1,1,31
10360,4,952142124,16,40,43,7,0,0,36
10361,33,526827409,78,54,38,6,1,1,44
10362,63,611739556,31,60,31,1,0,0,54
10363,42,168994274,68,42,-34,3,1,1,28
10364,3,135412045,52,56,-31,3,0,0,24
10365,48,902225996,15,46,11,5,1,1,43
10366,61,641921039,53,43,-32,5,0,0,53
10367,71,562999308,35,59,-44,9,1,1,50
10368,91,257322528,41,32,7,9,0,0,50
10369,9,710179241,50,33,29,2,1,1,29
10370,91,474881513,64,30,24,4,0,0,31
10371,95,812257669,75,35,34,7,1,1,52
10372,53,627258596,19,37,20,10,0,0,49
10373,107,569289523,45,36,-18,2,1,1,16
10374,79,681468038,62,50,-38,4,0,0,30
10375,12,666430924,59,30,27,8,1,1,35
10376,39,135740993,31,58,60,7,0,0,15
10377,63,623705279,26,37,-18,8,1,1,8
10378,53,388910586,23,36,-16,1,0,0,23
10379,94,129835045,28,31,-14,0,1,1,56
10380,81,850094420,69,40,47,10,0,0,15
10381,95,683229562,40,33,7,2,1,1,42
10382,85,556738643,67,59,34,2,0,0,29
10383,63,480210179,25,37,-5,0,1,1,12
10384,95,958578240,56,34,58,1,0,0,4
10385,97,176095178,43,44,-26,0,1,1,41
10386,3,122279521,27,40,7,9,0,0,14
10387,70,387787752,36,56,39,4,1,1,51
10388,59,482903755,50,43,-15,0,0,0,27
10389,21,750617382,34,44,59,8,1,1,47
10390,22,5678919,57,53,6,10,0,0,21
10391,47,887129374,50,55,1,2,1,1,5
10392,102,697298093,54,54,-19,5,0,0,43
10393,32,488920471,44,36,49,6,1,1,4
10394,3,95294364,58,49,34,4,0,0,53
10395,3,749979754,65,37,-50,3,1,1,49
10396,55,261089683,26,46,-47,7,0,0,27
10397,7,57225675,52,38,58,2,1,1,16
10398,78,435015678,39,60,-10,10,0,0,54
10399,21,625983064,22,39,55,4,1,1,2
10400,53,157050097,79,48,49,8,0,0,53
10401,5,318827258,26,32,46,3,1,1,59
10402,102,317401642,79,53,18,2,0,0,34
10403,48,468963813,54,38,60,2,1,1,28
10404,83,579152764,33,38,-12,5,0,0,23
10405,59,313581313,42,54,28,7,1,1,42
10406,44,133057481,76,58,-31,0,0,0,34
10407,5,285688999,15,55,60,4,1,1,49
10408,35,649227083,69,58,27,7,0,0,29
10409,32,910708893,38,31,57,9,1,1,42
10410,79,113463333,50,44,58,5,0,0,54
10411,31,417854038,36,31,6,3,1,1,48
10412,76,231706166,66,60,23,4,0,0,56
10413,45,362487841,71,43,-1,10,1,1,38
10414,102,992292097,63,53,26,7,0,0,34
10415,12,627903688,35,46,24,0,1,1,17
10416,88,812458775,16,45,-34,3,0,0,23
10417,82,434660835,29,31,-48,10,1,1,59
10418,56,829087230,54,49,52,6,0,0,54
10419,107,806432420,55,50,10,5,1,1,41
10420,14,864772874,79,45,-43,2,0,0,53
10421,13,335353393,28,60,8,7,1,1,26
10422,23,13888891,72,55,57,4,0,0,13
10423,109,468419766,22,36,-26,5,1,1,60
10424,54,298339773,63,43,54,5,0,0,12
10425,43,461306083,70,41,6,10,1,1,6
10426,24,63776078,74,56,-14,9,0,0,46
10427,15,663006082,48,51,59,2,1,1,41
10428,46,843903656,63,41,-16,7,0,0,11
10429,76,994266209,15,31,19,1,1,1,3
10430,32,476936105,41,44,1,0,0,0,22
10431,73,534027079,55,56,-34,6,1,1,31
10432,76,456858512,72,52,-47,10,0,0,47
10433,6,200866308,47,60,-8,2,1,1,35
10434,89,281768664,25,52,11,0,0,0,11
10435,100,995642309,79,37,55,6,1,1,43
10436,48,764748948,80,31,-11,1,0,0,31
10437,30,110838823,64,34,49,10,1,1,52
10438,66,701643863,47,44,37,0,0,0,50
10439,99,915085383,47,38,20,4,1,1,9
10440,69,355398121,77,35,-47,3,0,0,3
10441,21,650361973,44,51,-43,3,1,1,35
10442,74,515404554,42,59,-34,1,0,0,30
10443,18,521062024,58,40,-43,7,1,1,51
10444,102,290882511,23,43,-35,1,0,0,28
10445,42,921429304,65,30,7,3,1,1,35
10446,14,735318635,62,30,-12,3,0,0,10
10447,26,791501777,48,48,25,10,1,1,16
10448,108,30053583,38,56,-26,3,0,0,22
10449,16,228093299,55,52,-29,8,1,1,14
10450,46,339467541,49,41,53,2,0,0,56
10451,109,111665753,66,40,35,6,1,1,8
10452,109,94743383,59,40,1,8,0,0,23
10453,66,308776351,42,34,-28,4,1,1,60
10454,63,588771789,67,31,1,6,0,0,1
10455,43,198637620,69,58,42,9,1,1,35
10456,70,121035010,66,50,-12,10,0,0,15
10457,39,778919210,55,51,35,5,1,1,42
10458,17,954600117,55,44,-35,6,0,0,43
10459,32,133725407,20,53,15,10,1,1,6
10460,85,999451992,38,59,55,9,0,0,48
10461,10,786983204,78,60,16,4,1,1,52
10462,74,436426074,15,59,-32,10,0,0,50
10463,95,639570006,72,34,19,8,1,1,13
10464,40,910165488,46,51,-38,1,0,0,49
10465,70,657939682,27,55,29,4,1,1,22
10466,16,469174659,40,58,37,9,0,0,16
10467,71,123678106,55,41,-40,7,1,1,59
10468,98,453518189,21,49,42,10,0,0,53
10469,51,831218040,29,43,8,6,1,1,10
10470,12,356769770,51,47,10,9,0,0,7
10471,3,240327753,56,32,41,6,1,1,17
10472,48,464622702,38,41,44,5,0,0,44
10473,44,818553745,72,56,6,2,1,1,49
10474,63,240276340,67,54,-31,2,0,0,28
10475,24,556575741,32,48,55,6,1,1,7
10476,59,515504923,67,46,3,3,0,0,7
10477,58,235334295,33,30,50,6,1,1,10
10478,94,939351884,43,35,37,3,0,0,47
10479,71,493396549,29,42,-24,4,1,1,27
10480,75,597774419,58,32,-5,10,0,0,18
10481,108,246128001,49,37,-39,3,1,1,29
10482,102,727102255,63,38,-32,10,0,0,42
10483,96,597662311,71,38,14,8,1,1,57
10484,35,753251703,51,44,12,7,0,0,32
10485,100,440767257,34,50,30,9,1,1,54
10486,44,533252399,24,55,23,6,0,0,17
10487,105,511129548,65,44,30,1,1,1,31
10488,108,399130037,24,39,-19,4,0,0,9
10489,83,801418656,75,60,-11,8,1,1,6
10490,8,236091744,59,39,14,7,0,0,23
10491,3,948640214,71,56,15,8,1,1,33
10492,54,574485267,15,45,57,6,0,0,17
10493,73,155009469,28,47,13,7,1,1,28
10494,74,36751031,27,57,-7,0,0,0,20
10495,43,178263324,17,52,-21,5,1,1,16
10496,105,88635316,63,46,22,2,0,0,8
10497,95,152710827,37,35,-37,7,1,1,24
10498,93,428280480,31,58,18,7,0,0,1
10499,67,868196522,47,60,-24,10,1,1,35
10500,17,272869695,29,40,-33,5,0,0,43
10501,56,407945612,27,60,-44,3,1,1,23
10502,96,245910656,28,50,-44,1,0,0,28
10503,108,751191420,41,52,17,1,1,1,7
10504,69,616312055,16,57,-24,4,0,0,54
10505,34,870260293,47,47,-9,5,1,1,27
10506,54,842143764,73,30,17,10,0,0,12
10507,12,827532184,47,31,27,0,1,1,57
10508,79,591383723,80,59,46,10,0,0,28
10509,75,195679465,72,48,-37,7,1,1,18
10510,73,30978647,45,48,-11,3,0,0,39
10511,70,285416855,20,45,13,2,1,1,55
10512,13,348039719,64,38,56,7,0,0,50
10513,33,885633791,40,44,20,8,1,1,5
10514,68,64443589,32,59,25,0,0,0,14
10515,11,334026480,66,44,-13,2,1,1,55
10516,100,438032791,26,45,-33,2,0,0,7
10517,63,344691627,53,38,-10,8,1,1,53
10518,18,716912324,46,57,-27,1,0,0,9
10519,74,410238459,19,46,-38,2,1,1,34
10520,29,411565465,48,57,60,1,0,0,17
10521,69,919494217,45,32,-42,5,1,1,44
10522,45,697868115,78,34,-46,1,0,0,56
10523,91,668891722,30,41,33,8,1,1,15
10524,80,156130382,26,45,21,9,0,0,32
10525,52,657134723,69,53,7,10,1,1,4
10526,71,488132764,57,44,-3,8,0,0,29
10527,15,414387280,17,46,4,10,1,1,53
10528,50,57448700,43,57,-14,1,0,0,23
10529,43,408422262,37,32,-42,3,1,1,2
10530,64,412928777,59,49,42,9,0,0,52
10531,27,217071287,18,33,13,4,1,1,42
10532,83,28930015,17,36,2,4,0,0,3
10533,55,757296822,72,39,-28,3,1,1,4
10534,22,804899989,19,50,-1,10,0,0,22
10535,47,582452387,25,60,38,9,1,1,56
10536,56,890901489,76,45,27,7,0,0,43
10537,8,400734826,49,58,-44,7,1,1,54
10538,23,2488087,27,45,7,8,0,0,6
10539,65,901432183,67,38,-2,7,1,1,54
10540,52,658858653,62,45,-36,10,0,0,46
10541,3,295619205,50,41,12,2,1,1,58
10542,40,855185358,21,36,-22,8,0,0,9
10543,19,47847115,54,51,51,4,1,1,6
10544,1,845247521,16,41,56,9,0,0,15
10545,45,325383921,39,32,4,8,1,1,26
10546,4,591910079,47,30,-45,4,0,0,50
10547,70,411236254,27,53,-10,1,1,1,52
10548,96,69309192,66,60,-38,6,0,0,11
10549,108,165955160,37,38,45,0,1,1,23
10550,4,380729202,71,48,50,6,0,0,32
10551,3,602349498,76,51,-50,3,1,1,17
10552,8,57418898,62,36,-3,3,0,0,6
10553,98,81266102,53,35,45,3,1,1,21
10554,62,177435690,58,58,15,0,0,0,57
10555,101,437137660,27,50,-40,5,1,1,18
10556,40,210921787,45,56,-4,8,0,0,59
10557,100,272795355,24,30,-6,10,1,1,15
10558,10,810251160,59,42,12,0,0,0,33
10559,68,352409578,49,48,-40,4,1,1,46
10560,72,83053324,73,45,51,9,0,0,27
10561,42,836534336,35,35,53,3,1,1,27
10562,16,578294598,67,42,-14,5,0,0,60
10563,90,710638434,34,57,-35,10,1,1,6
10564,34,23574370,72,34,8,1,0,0,44
10565,106,501592771,62,53,23,1,1,1,20
10566,63,955809458,76,41,19,4,0,0,34
10567,77,907238929,77,37,58,1,1,1,14
10568,22,361338141,73,43,51,4,0,0,9
10569,101,24439843,40,57,-13,2,1,1,48
10570,70,552082790,49,43,12,9,0,0,6
10571,94,884873904,80,53,-9,9,1,1,20
10572,61,430961097,34,46,-36,0,0,0,17
10573,48,533017349,17,37,-9,1,1,1,30
10574,28,19513431,20,39,-8,6,0,0,43
10575,31,298891122,20,48,58,2,1,1,29
10576,28,43304650,78,49,-40,6,0,0,30
10577,20,230725206,51,60,-20,5,1,1,22
10578,49,754669863,28,44,13,2,0,0,22
10579,81,547441797,71,46,30,8,1,1,14
10580,75,54156202,79,58,38,3,0,0,22
10581,74,334001591,62,37,46,10,1,1,32
10582,73,854725844,39,45,46,6,0,0,58
10583,66,206993170,76,53,0,1,1,1,9
10584,83,403290698,53,35,10,4,0,0,47
10585,106,110071367,67,43,-12,1,1,1,32
10586,110,106263434,78,43,58,6,0,0,39
10587,27,759547443,74,55,31,4,1,1,15
10588,16,154813836,21,46,57,10,0,0,9
10589,16,18556345,75,49,9,7,1,1,7
10590,75,867959511,27,58,-14,10,0,0,54
10591,17,176690809,27,39,-36,8,1,1,3
10592,15,373322016,31,42,-21,0,0,0,44
